driver,q1,q2,q3
Sebastian Vettel,1:13.313,1:12.613,1:12.732
Esteban Ocon,1:12.848,1:12.528,1:13.047
Yuki Tsunoda,1:13.110,1:12.797,NA
Valtteri Bottas,1:13.541,1:12.909,NA
Kevin Magnussen,1:13.069,1:12.921,NA
Daniel Ricciardo,1:13.338,1:12.964,NA
Mick Schumacher,1:13.469,1:13.081,NA
Alexander Albon,1:13.611,NA,NA
Pierre Gasly,1:13.660,NA,NA
Lance Stroll,1:13.678,NA,NA
Nicholas Latifi,1:14.403,NA,NA
Guanyu Zhou,1:15.606,NA,NA
Charles Leclerc,1:42.865,1:42.046,1:41.359
Sergio Perez,1:42.733,1:41.955,1:41.641
Max Verstappen,1:42.722,1:42.227,1:41.706
Carlos Sainz,1:42.957,1:42.088,1:41.814
George Russell,1:43.754,1:43.281,1:42.712
Pierre Gasly,1:43.268,1:43.129,1:42.845
Lewis Hamilton,1:43.939,1:43.182,1:42.924
Yuki Tsunoda,1:43.595,1:43.376,1:43.056
Sebastian Vettel,1:43.279,1:43.268,1:43.091
Fernando Alonso,1:44.083,1:43.360,1:43.173
Lando Norris,1:44.237,1:43.398,NA
Daniel Ricciardo,1:44.437,1:43.574,NA
Esteban Ocon,1:43.903,1:43.585,NA
Guanyu Zhou,1:43.777,1:43.790,NA
Valtteri Bottas,1:44.478,1:44.444,NA
Kevin Magnussen,1:44.643,NA,NA
Alexander Albon,1:44.719,NA,NA
Nicholas Latifi,1:45.367,NA,NA
Lance Stroll,1:45.371,NA,NA
Mick Schumacher,1:45.775,NA,NA
Max Verstappen,1:32.219,1:23.746,1:21.299
Fernando Alonso,1:32.277,1:24.848,1:21.944
Carlos Sainz,1:32.781,1:25.197,1:22.096
Lewis Hamilton,1:33.841,1:25.543,1:22.891
Kevin Magnussen,1:32.957,1:26.254,1:22.960
Mick Schumacher,1:33.707,1:25.684,1:23.356
Esteban Ocon,1:33.012,1:26.135,1:23.529
George Russell,1:33.160,1:24.950,1:23.557
Daniel Ricciardo,1:33.636,1:26.375,1:23.749
Guanyu Zhou,1:33.692,1:26.116,1:24.030
Valtteri Bottas,1:33.689,1:26.788,NA
Alexander Albon,1:34.047,1:26.858,NA
Sergio Perez,1:33.929,1:33.127,NA
Lando Norris,1:34.066,DNF,NA
Charles Leclerc,1:33.008,NA,NA
Pierre Gasly,1:34.492,NA,NA
Sebastian Vettel,1:34.512,NA,NA
Lance Stroll,1:35.532,NA,NA
Nicholas Latifi,1:35.660,NA,NA
Yuki Tsunoda,1:36.575,NA,NA
Carlos Sainz,1:40.190,1:41.602,1:40.983
Max Verstappen,1:39.129,1:40.655,1:41.055
Charles Leclerc,1:39.846,1:41.247,1:41.298
Sergio Perez,1:40.521,1:42.513,1:41.616
Lewis Hamilton,1:40.428,1:41.062,1:41.995
Lando Norris,1:41.515,1:41.821,1:42.084
Fernando Alonso,1:41.598,1:42.209,1:42.116
George Russell,1:40.028,1:41.725,1:42.161
Guanyu Zhou,1:40.791,1:42.640,1:42.719
Nicholas Latifi,1:41.998,1:43.273,2:03.095
Pierre Gasly,1:41.680,1:43.702,NA
Valtteri Bottas,1:41.396,1:44.232,NA
Yuki Tsunoda,1:41.893,1:44.311,NA
Daniel Ricciardo,1:41.933,1:44.355,NA
Esteban Ocon,1:41.730,1:45.190,NA
Alexander Albon,1:42.078,NA,NA
Kevin Magnussen,1:42.159,NA,NA
Sebastian Vettel,1:42.666,NA,NA
Mick Schumacher,1:42.708,NA,NA
Lance Stroll,1:43.430,NA,NA
Max Verstappen,1:05.852,1:05.374,1:04.984
